place,id,act,text,prompt,name,desc,notes
,,,,,,,just the general prompt
,,,,,,,
bedroom,res_letter,1,,,"<style=prompt><b>Hi sweetheart,</b></style>","<style=prompt>We hope you slept well last night! After Mom got home from work, the sleep doctors called us and told us we could write you a letter today. We were so excited! 

The doctors also gave us an update yesterday, and they said you’ve been doing a great job! We know it’s not fun being alone in that room on your own, but you’re doing your best, staying calm, and following the routine. That makes us very proud. They said you’ll be better in no time if you keep it up! 

They told us that you’ve been given some books that you asked for today too! They couldn’t quite get all of them in time, but hopefully you have fun reading the ones you have now. You’d spend hours on a book without even realizing, you know? Your father won’t be around to drag you away from them this time! That should be quite nice.

We know it must be lonely, but remember that we’re just in the next room! We love you so much and want you to get better as soon as possible. So, hang in there, okay? We’ll be together sooner than you know. 

<b>Love,</b> 
<b>Mom and Dad <3</b></style>",
bedroom,fren_letter,1,,,"<style=prompt><b>Hey,</b></style>","<style=prompt>I heard about what happened. The teacher told us that you wouldn’t be coming to school for some time a long while ago. I ran to your house to check that day, but your Mom and Dad said you had to stay in your room for some time. They didn’t even let me talk to you until now, and they said it had to be a letter. Why can’t I just talk to you??

I knew you had nightmares, but I never thought they were bad like this. They felt like normal nightmares. 

They said that it’s working and that you’re getting better, but if that was true, wouldn’t they let you out, at least for a bit? It’s been so long.

I miss you at school. I don’t like anyone in our class. Everyone is so mean. 

I went to the park today and sat on the swings, like we used to after school. It was quiet, cold, and the other swing was empty. I kept turning and seeing no one there.

Please feel better very soon. I don’t want to go to the park by myself again. 

<b>Elias</b></style>",
bedroom,respond_letter,1,,,"<style=prompt><b>Hi Mom and Dad, </b></style>",<style=prompt>I don’t know if I feel better. I feel tired. Thank you for the books. When can I come out?</style>,
,,,,,,,
,,,,,,,
bedroom,res_letter,2,,,"<style=prompt><b>Hi honey,</b></style>","<style=prompt>The doctors said that you’re making more progress! This is incredible news! We’re so, so proud of you for being good and doing your best. We know this is hard and probably very boring too, but you are being so brave.

They said you need to keep doing your routine just like before, okay? That means going to sleep when you are supposed to, waking up when you are supposed to, and pressing the buttons on the machines for your food and water when it is time. Even if it feels annoying, you still have to keep trying. Sometimes things take a little longer than they should.

The doctors also said that they were able to get you more books this time! Dad picked out a few of them this time, so we hope they are fun to read.

Mom bought some Snix bars when we went grocery shopping today, before we remembered that we couldn’t send you any and got very sad. :(

We miss you very, very much. Please keep being good and keep following the rules a little longer. We know you can do it, and we can’t wait for you to come back to us.

<b>Lots of love,</b>
<b>Mom and Dad <3</b></style>",
bedroom,fren_letter,2,,,<style=prompt><b>Hey.</b></style>,"<style=prompt> Something is going on. I came by sometime ago, and your Dad was there. He just asked me for the letter and shut the door in my face when I said I didn’t have one. I said I wanted to talk to you. I don’t understand why! No one is telling me <b>anything</b>! <b><i>Why!??!?</i></b>

I thought about throwing a rock at your window and climbing up the side, but I remembered your neighbor would complain about the noise again. 

<i>I don’t care</i>. He’s angry all the time anyway. 

I haven’t been going to school. It’s been so, so long since you’ve been gone. What are the doctors saying? I never hear about anything. I mean, they should tell me. I’m your best friend! There’s no way your Mom and Dad don’t know that. There’s no way.

It rained a while ago. Do you remember what the rain feels like? It’s been ages since it rained, I know. It sounds like someone… walking you know? Tiny tip-taps. Heavier ones later. It’s scary. I wish you were here and we could watch movies together when the rain starts up. It’s so loud. I can’t even hear the TV from downstairs and the lightning is so bright. I’m scared it’ll hit the house and then…

I don’t know. What if there’s a fire? Will your Mom and Dad save you, if the lightning hits the house? If there’s a fire? I hope so. It's so scary.

I still have a rock from the park. I should throw it at your window. Maybe then we can go to the park and put it back together.

<b>Elias</b></style>",
bedroom,respond_letter,2,,,"<style=prompt><b>Hi,</b></style>","<style=prompt>It doesn’t work. Why won’t you listen? 

<b>THE MACHINES DON’T WORK</b>

I PRESSED THE BUTTONS
<b><u>THEY DON’T WORK</u></b>

I’m hungry

Please</style>",
,,,,,,,
bedroom,res_letter,3,,,"<style=prompt><b>Hi dear,</b></style>","<style=prompt>We got another update from the doctors today, and they said you have still been making so much progress, even if this past week has been a hard one. We know that some days probably felt long and unpleasant, and we are sorry for that. But they told us you are still doing what you need to do, and we are very proud of you for that. You'll be out soon if this continues! We are so excited!

Mom said you were always more sensitive when you were tired. If things have felt worse lately, or stranger than they did before, that does not mean you are doing anything wrong. It just means this part is difficult, and you have to keep going.

The doctors said it is still important that you follow your routine exactly and not let yourself get worked up. Even when it feels like nothing is changing, they said that is not true. Things are still moving in the right direction.

They were able to send in a few more books again. We hope they are helping the days pass a little faster. 

We know you are tired, sweetheart. But you have done so well. Now the most important thing is that you stay calm, follow the routine, and rest. The hard part is nearly over now, and everything will be alright soon.

<b>Love,</b>
<b>Mom and Dad <3</b></style>",
